episode,score,total_reward,epsilon
1.0,1.0,-1.2999999999999972,1.0
2.0,0.0,-11.2,0.998
3.0,0.0,-11.2,0.996004
4.0,0.0,-11.0,0.994011992
5.0,0.0,-11.3,0.992023968016
6.0,0.0,-11.0,0.990039920079968
7.0,1.0,-0.6999999999999993,0.9880598402398081
8.0,0.0,-11.8,0.9860837205593285
9.0,0.0,-10.7,0.9841115531182099
10.0,0.0,-10.5,0.9821433300119734
11.0,0.0,-10.7,0.9801790433519495
12.0,0.0,-10.4,0.9782186852652456
13.0,1.0,-1.399999999999995,0.976262247894715
14.0,0.0,-10.4,0.9743097233989256
15.0,0.0,-10.3,0.9723611039521278
16.0,0.0,-10.6,0.9704163817442236
17.0,0.0,-10.8,0.9684755489807352
18.0,0.0,-10.4,0.9665385978827737
19.0,0.0,-10.4,0.9646055206870082
20.0,0.0,-10.3,0.9626763096456342
21.0,1.0,-0.29999999999999893,0.9607509570263429
22.0,1.0,-0.8999999999999986,0.9588294551122902
23.0,0.0,-10.4,0.9569117962020657
24.0,0.0,-10.3,0.9549979726096616
25.0,0.0,-11.4,0.9530879766644422
26.0,0.0,-10.7,0.9511818007111134
27.0,0.0,-10.5,0.9492794371096911
28.0,0.0,-10.4,0.9473808782354717
29.0,0.0,-10.5,0.9454861164790007
30.0,1.0,-0.5999999999999979,0.9435951442460427
31.0,0.0,-10.8,0.9417079539575507
32.0,0.0,-11.5,0.9398245380496356
33.0,1.0,-0.5999999999999996,0.9379448889735363
34.0,0.0,-11.2,0.9360689991955893
35.0,0.0,-11.6,0.9341968611971981
36.0,0.0,-10.7,0.9323284674748037
37.0,1.0,-0.09999999999999964,0.930463810539854
38.0,1.0,-2.1999999999999993,0.9286028829187744
39.0,0.0,-11.2,0.9267456771529368
40.0,1.0,-1.099999999999996,0.9248921857986309
41.0,0.0,-10.5,0.9230424014270336
42.0,0.0,-10.4,0.9211963166241796
43.0,1.0,-0.5,0.9193539239909312
44.0,1.0,-0.29999999999999893,0.9175152161429493
45.0,0.0,-11.6,0.9156801857106633
46.0,0.0,-10.6,0.913848825339242
47.0,0.0,-10.8,0.9120211276885636
48.0,1.0,-0.5,0.9101970854331864
49.0,1.0,-1.099999999999996,0.9083766912623201
50.0,0.0,-11.4,0.9065599378797955
51.0,0.0,-12.900000000000002,0.9047468180040359
52.0,0.0,-10.3,0.9029373243680279
53.0,1.0,-0.7999999999999989,0.9011314497192918
54.0,0.0,-10.5,0.8993291868198532
55.0,0.0,-11.700000000000001,0.8975305284462135
56.0,0.0,-12.3,0.8957354673893211
57.0,1.0,-0.40000000000000036,0.8939439964545425
58.0,1.0,-0.6999999999999993,0.8921561084616334
59.0,0.0,-10.8,0.8903717962447101
60.0,0.0,-10.4,0.8885910526522206
61.0,1.0,-2.7999999999999936,0.8868138705469162
62.0,1.0,-1.1999999999999957,0.8850402428058224
63.0,0.0,-10.5,0.8832701623202107
64.0,0.0,-10.7,0.8815036219955703
65.0,1.0,-0.9999999999999982,0.8797406147515792
66.0,1.0,-1.299999999999999,0.877981133522076
67.0,0.0,-12.200000000000001,0.8762251712550319
68.0,0.0,-10.7,0.8744727209125218
69.0,0.0,-10.7,0.8727237754706968
70.0,1.0,-1.5999999999999943,0.8709783279197554
71.0,0.0,-10.5,0.8692363712639158
72.0,1.0,-1.0,0.867497898521388
73.0,1.0,-0.7999999999999989,0.8657629027243453
74.0,0.0,-10.7,0.8640313769188966
75.0,0.0,-10.4,0.8623033141650589
76.0,0.0,-10.3,0.8605787075367288
77.0,0.0,-10.5,0.8588575501216553
78.0,2.0,8.700000000000003,0.857139835021412
79.0,1.0,-0.5,0.8554255553513692
